CDDIST,d_votes,r_votes,total_votes,democrat_ratio,republican_ratio,winning_party,d_wasted,r_wasted
0,52843210,34247705,87090915,0.6067591550737526,0.3932408449262475,D wins,52843159,34247705
1,110472,208150,318622,0.3467180546227191,0.6532819453772809,R wins,110472,208099
2,272384,106407,378791,0.7190878347162419,0.28091216528375806,D wins,272333,106407
3,187960,233895,421855,0.4455559374666651,0.5544440625333349,R wins,187960,233844
4,227321,114644,341965,0.6647493164505139,0.33525068354948606,D wins,227270,114644
5,134467,214223,348690,0.3856348045541885,0.6143651954458115,R wins,134467,214172
6,165386,121625,287011,0.5762357540303333,0.42376424596966666,D wins,165335,121625
7,197361,98273,295634,0.6675855957027946,0.3324144042972053,D wins,197310,98273
8,201756,70932,272688,0.7398785425101214,0.2601214574898785,D wins,201705,70932
9,130093,121006,251099,0.5180944567680477,0.48190554323195234,D wins,130042,121006
10,241926,121826,363752,0.6650850029690558,0.3349149970309442,D wins,241875,121826
11,274784,64312,339096,0.8103427937811122,0.18965720621888787,D wins,274733,64312
12,185144,0,185144,1,0,D wins,185093,0
13,90617,85181,175798,0.5154609267454693,0.48453907325453077,D wins,90566,85181
14,187141,88998,276139,0.6777057930969548,0.3222942069030452,D wins,187090,88998
15,211569,77839,289408,0.7310406070322866,0.26895939296771343,D wins,211518,77839
16,179463,0,179463,1,0,D wins,179412,0
17,172423,82376,254799,0.6767020278729509,0.32329797212704914,D wins,172372,82376
18,147602,80773,228375,0.6463141762452107,0.3536858237547893,D wins,147551,80773
19,252321,111758,364079,0.693039148096979,0.306960851903021,D wins,252270,111758
20,0,100762,100762,0,1,R wins,0,100711
21,102701,92560,195261,0.5259678071914002,0.47403219280859976,D wins,102650,92560
22,77882,89173,167055,0.4662057406243453,0.5337942593756547,R wins,77882,89122
23,105065,158207,263272,0.39907396153028046,0.6009260384697195,R wins,105065,158156
24,214301,127370,341671,0.6272144841089821,0.372785515891018,D wins,214250,127370
25,137517,106777,244294,0.56291599466216935,0.43708400533783065,D wins,137466,106777
26,187002,146386,333388,0.5609140101023432,0.4390859898976568,D wins,186951,146386
27,153942,145826,299768,0.5135371353846975,0.4864628646153025,D wins,153891,145826
28,204405,110336,314741,0.6494387448727684,0.3505612551272316,D wins,204354,110336
29,146305,63360,209665,0.6978036391386259,0.3021963608613741,D wins,146254,63360
30,213073,98523,311596,0.6838117305742051,0.3161882694257949,D wins,213022,98523
31,147978,99776,247754,0.5972779450584047,0.4027220549415953,D wins,147927,99776
32,212896,108674,321570,0.6620518083154523,0.3379481916845477,D wins,212845,108674
33,136992,95852,232844,0.58834240951023,0.41165759048976996,D wins,136941,95852
34,105392,0,105392,1,0,D wins,105341,0
35,136260,97008,233268,0.5841349863676115,0.4158650136323885,D wins,136209,97008
36,245976,111963,357939,0.6872008917720617,0.31279910822793827,D wins,245925,111963
37,160361,0,160361,1,0,D wins,160310,0
38,165070,110792,275862,0.5983788995947249,0.4016211004052751,D wins,165019,110792
39,130151,99415,229566,0.5669437111767422,0.4330562888232578,D wins,130100,99415
40,171530,211758,383288,0.4475224896161633,0.5524775103838367,R wins,171530,211707
41,171093,182893,353986,0.4833326741735549,0.5166673258264451,R wins,171093,182842
42,159137,74396,233533,0.6814326026728557,0.31856739732714434,D wins,159086,74396
43,159991,53110,213101,0.7507754538927551,0.24922454610724493,D wins,159940,53110
44,164728,66070,230798,0.7137323546997808,0.28626764530021925,D wins,164677,66070
45,158216,157522,315738,0.5010990124723663,0.4989009875276337,D wins,158165,157522
46,133944,77201,211145,0.6343697459092094,0.3656302540907907,D wins,133893,77201
47,181662,171393,353055,0.5145430598631942,0.4854569401368059,D wins,181611,171393
48,146549,213334,359883,0.40721289974797364,0.5927871002520263,R wins,146549,213283
49,197333,180862,378195,0.5217758034876189,0.4782241965123812,D wins,197282,180862
50,231715,128725,360440,0.6428670513816447,0.3571329486183553,D wins,231664,128725
51,198772,128699,327471,0.6069911534151116,0.39300884658488844,D wins,198721,128699
52,172178,87480,259658,0.6630953022822328,0.3369046977177672,D wins,172127,87480
